paper_subject,reference_subject,counts
10,10.0,252748
10,11.0,21518
10,12.0,20
10,13.0,258224
10,15.0,746
10,16.0,4833
10,17.0,462
10,19.0,279
10,20.0,16
10,22.0,481
10,23.0,780
10,24.0,46714
10,25.0,228
10,26.0,618
10,27.0,39278
10,28.0,48874
10,29.0,277
10,30.0,4241
10,31.0,3020
10,32.0,2999
10,33.0,488
10,34.0,513
10,35.0,170
10,36.0,210
11,10.0,135278
11,11.0,516484
11,12.0,109
11,13.0,284860
11,14.0,4
11,15.0,1081
11,16.0,5906
11,17.0,2329
11,18.0,3
11,19.0,638
11,20.0,14
11,21.0,4
11,22.0,646
11,23.0,8094
11,24.0,45391
11,25.0,151
11,26.0,2971
11,27.0,48402
11,28.0,22279
11,29.0,3065
11,30.0,6999
11,31.0,1066
11,32.0,5980
11,33.0,1999
11,34.0,6353
11,35.0,297
11,36.0,560
12,10.0,100
12,11.0,55
12,12.0,392
12,13.0,61
12,15.0,3
12,17.0,40
12,20.0,2
12,22.0,26
12,23.0,6
12,24.0,12
12,26.0,19
12,27.0,391
12,28.0,278
12,29.0,50
12,30.0,9
12,31.0,335
12,32.0,526
12,33.0,49
12,34.0,1
12,35.0,1
12,36.0,77
13,10.0,806221
13,11.0,142227
13,12.0,104
13,13.0,3569630
13,15.0,11281
13,16.0,46132
13,17.0,5409
13,18.0,5
13,19.0,319
13,20.0,3
13,21.0,3
13,22.0,5609
13,23.0,7213
13,24.0,247629
13,25.0,2084
13,26.0,6299
13,27.0,618160
13,28.0,194905
13,29.0,6684
13,30.0,77955
13,31.0,5884
13,32.0,2313
13,33.0,860
13,34.0,6496
13,35.0,6181
13,36.0,1682
14,10.0,4
14,14.0,37
14,18.0,1
14,20.0,7
14,26.0,2
14,27.0,5
14,29.0,1
14,32.0,14
14,33.0,2
15,10.0,7739
15,11.0,584
15,12.0,1
15,13.0,16925
15,15.0,27298
15,16.0,5631
15,17.0,29
15,19.0,6
15,20.0,3
15,21.0,2
15,22.0,4651
15,23.0,732
15,24.0,2136
15,25.0,1629
15,26.0,82
15,27.0,8153
15,28.0,1151
15,29.0,39
15,30.0,7052
15,31.0,1024
15,32.0,6
15,33.0,38
15,34.0,209
15,35.0,1452
15,36.0,62
16,10.0,33178
16,11.0,5115
16,12.0,4
16,13.0,66193
16,15.0,8301
16,16.0,184563
16,17.0,95
16,19.0,82
16,21.0,4
16,22.0,1542
16,23.0,4343
16,24.0,5445
16,25.0,2485
16,26.0,2637
16,27.0,12388
16,28.0,2364
16,29.0,724
16,30.0,17578
16,31.0,7297
16,32.0,38
16,33.0,277
16,34.0,281
16,35.0,177
16,36.0,84
17,10.0,1318
17,11.0,232
17,12.0,3
17,13.0,2912
17,15.0,27
17,16.0,95
17,17.0,22977
17,18.0,4
17,19.0,13
17,20.0,1
17,21.0,5
17,22.0,3264
17,23.0,43
17,24.0,108
17,25.0,20
17,26.0,798
17,27.0,3260
17,28.0,2817
17,29.0,20
17,30.0,67
17,31.0,964
17,32.0,270
17,33.0,22
17,34.0,10
17,35.0,39
17,36.0,633
18,11.0,1
18,13.0,1
18,17.0,9
18,18.0,104
18,20.0,2
18,22.0,19
18,23.0,4
18,26.0,22
18,27.0,4
18,32.0,2
19,10.0,1690
19,11.0,441
19,12.0,1
19,13.0,430
19,15.0,11
19,16.0,87
19,17.0,40
19,19.0,2964
19,20.0,1
19,21.0,1
19,22.0,134
19,23.0,270
19,24.0,366
19,25.0,3
19,26.0,16
19,27.0,231
19,28.0,33
19,29.0,5
19,30.0,29
19,31.0,57
19,32.0,3
19,33.0,34
19,34.0,9
19,35.0,2
19,36.0,3
20,10.0,68
20,11.0,13
20,13.0,10
20,14.0,4
20,17.0,1
20,18.0,4
20,19.0,1
20,20.0,457
20,22.0,1
20,23.0,6
20,24.0,3
20,26.0,18
20,27.0,174
20,28.0,14
20,29.0,3
20,32.0,54
20,33.0,74
21,10.0,86
21,11.0,5
21,13.0,99
21,15.0,31
21,16.0,42
21,17.0,5
21,21.0,78
21,22.0,129
21,23.0,6
21,24.0,31
21,25.0,2
21,26.0,3
21,27.0,67
21,28.0,9
21,29.0,1
21,30.0,4
21,31.0,3
21,32.0,1
22,10.0,2221
22,11.0,292
22,12.0,8
22,13.0,4837
22,14.0,1
22,15.0,3865
22,16.0,674
22,17.0,5744
22,18.0,19
22,19.0,181
22,20.0,7
22,21.0,15
22,22.0,53841
22,23.0,233
22,24.0,257
22,25.0,1397
22,26.0,1972
22,27.0,15239
22,28.0,2714
22,29.0,143
22,30.0,806
22,31.0,3994
22,32.0,391
22,33.0,345
22,34.0,35
22,35.0,1535
22,36.0,905
23,10.0,5532
23,11.0,8589
23,12.0,14
23,13.0,13493
23,15.0,1525
23,16.0,5679
23,17.0,96
23,18.0,1
23,19.0,465
23,20.0,3
23,21.0,3
23,22.0,372
23,23.0,93144
23,24.0,7425
23,25.0,135
23,26.0,174
23,27.0,11888
23,28.0,1158
