paper_subject,reference_subject,counts
1000,1000.0,0
1000,1100.0,1944
1000,1101.0,10
1000,1102.0,547
1000,1103.0,487
1000,1104.0,204
1000,1105.0,5650
1000,1106.0,99
1000,1108.0,6
1000,1109.0,153
1000,1110.0,12408
1000,1111.0,10
1000,1201.0,13
1000,1202.0,5
1000,1207.0,1
1000,1211.0,1
1000,1300.0,55866
1000,1302.0,66
1000,1303.0,5852
1000,1304.0,7081
1000,1305.0,2185
1000,1306.0,8472
1000,1307.0,54062
1000,1308.0,452
1000,1309.0,16379
1000,1310.0,496
1000,1311.0,48614
1000,1312.0,41072
1000,1313.0,294
1000,1314.0,3218
1000,1315.0,14115
1000,1500.0,8
1000,1502.0,680
1000,1503.0,26
1000,1504.0,1
1000,1505.0,31
1000,1600.0,1389
1000,1601.0,7
1000,1602.0,314
1000,1603.0,12
1000,1604.0,136
1000,1605.0,676
1000,1606.0,1759
1000,1607.0,540
1000,1700.0,92
1000,1702.0,48
1000,1703.0,1
1000,1704.0,1
1000,1705.0,6
1000,1706.0,24
1000,1707.0,10
1000,1710.0,143
1000,1712.0,137
1000,1900.0,31
1000,1901.0,16
1000,1902.0,66
1000,1904.0,5
1000,1906.0,27
1000,1907.0,14
1000,1908.0,3
1000,1909.0,5
1000,1910.0,60
1000,1911.0,3
1000,1912.0,49
1000,2000.0,1
1000,2002.0,15
1000,2200.0,1
1000,2201.0,1
1000,2202.0,4
1000,2203.0,2
1000,2204.0,388
1000,2207.0,4
1000,2208.0,58
1000,2209.0,2
1000,2210.0,6
1000,2211.0,3
1000,2213.0,12
1000,2300.0,48
1000,2302.0,2
1000,2303.0,131
1000,2304.0,11
1000,2305.0,8
1000,2306.0,21
1000,2307.0,211
1000,2308.0,61
1000,2309.0,1
1000,2310.0,223
1000,2311.0,6
1000,2312.0,57
1000,2400.0,403
1000,2402.0,2162
1000,2403.0,20900
1000,2404.0,11758
1000,2405.0,856
1000,2406.0,10635
1000,2500.0,64
1000,2502.0,24
1000,2504.0,126
1000,2505.0,7
1000,2506.0,2
1000,2507.0,2
1000,2508.0,3
1000,2600.0,1
1000,2601.0,1
1000,2602.0,1
1000,2603.0,1
1000,2604.0,51
1000,2605.0,174
1000,2607.0,1
1000,2608.0,1
1000,2610.0,80
1000,2611.0,160
1000,2613.0,147
1000,2700.0,5773
1000,2701.0,28
1000,2702.0,198
1000,2703.0,188
1000,2704.0,28
1000,2705.0,3182
1000,2706.0,124
1000,2707.0,30
1000,2708.0,128
1000,2710.0,332
1000,2711.0,24
1000,2712.0,1009
1000,2713.0,231
1000,2714.0,16
1000,2715.0,1801
1000,2716.0,2082
1000,2717.0,70
1000,2718.0,54
1000,2719.0,101
1000,2720.0,1734
1000,2721.0,828
1000,2722.0,221
1000,2723.0,3599
1000,2724.0,412
1000,2725.0,2958
1000,2726.0,861
1000,2727.0,709
1000,2728.0,1889
1000,2729.0,222
1000,2730.0,3251
1000,2731.0,184
1000,2732.0,378
1000,2733.0,63
1000,2734.0,2060
1000,2735.0,349
1000,2736.0,508
1000,2737.0,481
1000,2738.0,542
1000,2739.0,421
1000,2740.0,341
1000,2741.0,1170
1000,2742.0,25
1000,2743.0,144
1000,2745.0,74
1000,2746.0,298
1000,2747.0,89
1000,2748.0,68
1000,2800.0,36965
1000,2801.0,39
1000,2802.0,875
1000,2803.0,705
1000,2804.0,2909
1000,2805.0,4145
1000,2806.0,57
1000,2807.0,155
1000,2808.0,1578
1000,2809.0,1446
1000,2900.0,23
1000,2902.0,43
1000,2905.0,2
1000,2906.0,1
1000,2907.0,4
1000,2909.0,1
1000,2910.0,4
1000,2912.0,1
1000,2914.0,2
1000,2916.0,192
1000,2917.0,2
1000,2921.0,1
1000,2922.0,1
1000,3000.0,47
1000,3002.0,421
1000,3003.0,688
1000,3004.0,2361
1000,3005.0,724
1000,3100.0,2049
1000,3101.0,23
1000,3102.0,65
1000,3104.0,12
1000,3105.0,78
1000,3106.0,71
1000,3107.0,667
1000,3108.0,40
1000,3109.0,15
1000,3200.0,791
1000,3201.0,4
1000,3202.0,33
1000,3203.0,24
1000,3204.0,512
1000,3205.0,231
1000,3206.0,1315
1000,3207.0,89
1000,3300.0,5
1000,3301.0,10
1000,3303.0,1
1000,3304.0,18
1000,3305.0,10
1000,3306.0,30
1000,3307.0,9
1000,3308.0,25
1000,3309.0,4
1000,3310.0,10
1000,3312.0,17
1000,3314.0,296
1000,3316.0,1
1000,3317.0,51
1000,3318.0,1
1000,3400.0,466
1000,3402.0,41
1000,3403.0,5
1000,3404.0,1
1000,3500.0,100
1000,3504.0,37
1000,3505.0,2
1000,3506.0,31
1000,3602.0,3
1000,3607.0,38
1000,3612.0,43
1000,3614.0,115
1000,3616.0,11
1100,1000.0,18991
1100,1100.0,0
1100,1101.0,11
1100,1102.0,478
1100,1103.0,1929
1100,1104.0,367
1100,1105.0,19986
1100,1106.0,104
1100,1107.0,2
1100,1108.0,3
1100,1109.0,542
1100,1110.0,3196
1100,1111.0,7
1100,1201.0,50
1100,1202.0,2
1100,1207.0,2
1100,1210.0,1
1100,1300.0,5421
1100,1301.0,1
1100,1302.0,13
1100,1303.0,760
1100,1304.0,349
1100,1305.0,1276
1100,1306.0,2232
1100,1307.0,6808
1100,1308.0,99
1100,1309.0,1785
1100,1310.0,1193
1100,1311.0,11655
1100,1312.0,5368
1100,1313.0,263
1100,1314.0,1495
1100,1315.0,3029
1100,1408.0,2
1100,1502.0,308
1100,1503.0,1
1100,1505.0,5
1100,1506.0,1
1100,1600.0,291
1100,1601.0,9
1100,1602.0,75
1100,1604.0,4
1100,1605.0,258
1100,1606.0,41
1100,1607.0,249
1100,1700.0,45
1100,1702.0,71
1100,1704.0,2
1100,1705.0,13
1100,1706.0,49
1100,1707.0,12
1100,1709.0,1
1100,1710.0,247
1100,1711.0,2
1100,1712.0,344
1100,1800.0,1
1100,1900.0,13
1100,1901.0,2
1100,1902.0,25
1100,1903.0,1
1100,1906.0,2
1100,1907.0,1
1100,1908.0,1
1100,1909.0,2
1100,1910.0,60
1100,1911.0,5
1100,1912.0,3
1100,2001.0,7
1100,2002.0,4
1100,2200.0,3
1100,2201.0,2
1100,2202.0,2
1100,2204.0,253
1100,2207.0,2
1100,2208.0,14
1100,2209.0,1
1100,2210.0,4
1100,2213.0,6
1100,2300.0,108
1100,2302.0,2
1100,2303.0,545
1100,2304.0,26
1100,2305.0,17
1100,2306.0,52
1100,2307.0,433
1100,2308.0,124
1100,2309.0,1
1100,2310.0,593
1100,2311.0,1
1100,2312.0,54
1100,2400.0,94
1100,2402.0,881
1100,2403.0,3188
1100,2404.0,4335
1100,2405.0,638
1100,2406.0,2571
1100,2500.0,43
1100,2502.0,3
1100,2504.0,9
1100,2506.0,2
1100,2600.0,26
1100,2604.0,689
1100,2605.0,13
1100,2607.0,4
1100,2609.0,2
1100,2610.0,180
1100,2611.0,422
1100,2613.0,730
1100,2700.0,2002
1100,2701.0,50
1100,2702.0,67
1100,2703.0,52
1100,2704.0,11
1100,2705.0,1157
1100,2706.0,403
1100,2707.0,213
1100,2708.0,18
1100,2710.0,51
1100,2711.0,27
1100,2712.0,1195
1100,2713.0,1268
1100,2714.0,43
1100,2715.0,380
1100,2716.0,580
1100,2717.0,208
1100,2718.0,272
1100,2719.0,612
1100,2720.0,496
1100,2721.0,89
1100,2722.0,30
1100,2723.0,369
1100,2724.0,215
1100,2725.0,5813
1100,2726.0,1422
1100,2727.0,270
1100,2728.0,857
1100,2729.0,510
1100,2730.0,799
1100,2731.0,361
1100,2732.0,473
1100,2733.0,35
1100,2734.0,82
1100,2735.0,476
1100,2736.0,836
