paper_field,reference_fields,year_counts_norm
1000,1000,"{2003: 0.07, 2005: 0.07, 2000: 0.08, 1995: 0.01, 2010: 0.04, 2015: 0.0, 1999: 0.06, 2007: 0.07, 1992: 0.0, 2001: 0.07, 1998: 0.06, 2004: 0.07, 2002: 0.08, 2013: 0.02, 2008: 0.07, 2006: 0.07, 1997: 0.04, 2009: 0.06, 1990: 0.0, 1996: 0.01, 1991: 0.0, 1993: 0.0, 2011: 0.03, 2012: 0.02, 1994: 0.0, 2014: 0.01}"
1000,1100,"{2008: 0.06, 1995: 0.02, 2004: 0.05, 2007: 0.05, 2009: 0.06, 2000: 0.05, 1997: 0.06, 1996: 0.05, 2010: 0.06, 2003: 0.05, 1999: 0.03, 1998: 0.03, 2006: 0.05, 2002: 0.04, 2005: 0.05, 2001: 0.03, 1994: 0.01, 1993: 0.01, 1992: 0.01, 1991: 0.0, 2012: 0.08, 1990: 0.0, 2011: 0.08, 2013: 0.07, 2014: 0.01, 2015: 0.0}"
1000,1101,"{2004: 0.1, 2006: 0.1, 2003: 0.2, 2008: 0.1, 2013: 0.4, 2009: 0.1}"
1000,1102,"{1992: 0.09, 2005: 0.03, 1991: 0.04, 1996: 0.11, 1990: 0.02, 1993: 0.05, 2008: 0.04, 2000: 0.05, 1997: 0.05, 1998: 0.06, 2003: 0.03, 2001: 0.03, 2004: 0.03, 1994: 0.07, 2007: 0.04, 1999: 0.03, 1995: 0.05, 2002: 0.03, 2006: 0.04, 2009: 0.03, 2010: 0.03, 2011: 0.03, 2013: 0.01, 2012: 0.01, 2014: 0.01}"
1000,1103,"{2007: 0.09, 2009: 0.07, 2000: 0.03, 1996: 0.02, 2003: 0.08, 2001: 0.03, 2006: 0.13, 2004: 0.07, 1998: 0.04, 1990: 0.01, 1999: 0.02, 2005: 0.05, 2002: 0.05, 1997: 0.03, 1995: 0.01, 1994: 0.01, 2008: 0.08, 1993: 0.01, 2012: 0.03, 2013: 0.03, 2010: 0.05, 2011: 0.05, 2014: 0.0, 1992: 0.0}"
1000,1104,"{2003: 0.07, 1999: 0.03, 2004: 0.09, 1996: 0.01, 2006: 0.1, 1998: 0.02, 2008: 0.04, 2001: 0.05, 2000: 0.08, 2002: 0.02, 2005: 0.09, 2009: 0.08, 1997: 0.06, 1995: 0.01, 1992: 0.01, 1994: 0.03, 2007: 0.05, 1993: 0.01, 2012: 0.02, 2011: 0.03, 2014: 0.01, 2010: 0.04, 2013: 0.02}"
1000,1105,"{2003: 0.03, 2004: 0.07, 2007: 0.11, 2009: 0.09, 2010: 0.11, 2008: 0.11, 1997: 0.01, 2002: 0.04, 1998: 0.02, 2006: 0.09, 2001: 0.03, 1999: 0.02, 2000: 0.02, 2005: 0.06, 1996: 0.01, 1992: 0.0, 1990: 0.0, 1993: 0.0, 1994: 0.0, 1995: 0.01, 2012: 0.06, 2011: 0.07, 1991: 0.0, 2013: 0.03, 2014: 0.01, 2015: 0.0}"
1000,1106,"{1998: 0.03, 2003: 0.08, 1990: 0.03, 2004: 0.1, 1994: 0.04, 2005: 0.05, 2007: 0.06, 2008: 0.04, 1991: 0.02, 1997: 0.04, 2002: 0.07, 2012: 0.05, 1992: 0.01, 2006: 0.09, 2015: 0.01, 2001: 0.01, 2010: 0.07, 1996: 0.02, 2009: 0.02, 1999: 0.02, 2011: 0.05, 2013: 0.04, 2014: 0.02, 1993: 0.01, 1995: 0.01}"
1000,1108,"{2007: 0.33, 2006: 0.17, 2005: 0.17, 2002: 0.17, 2009: 0.17}"
1000,1109,"{1995: 0.04, 2006: 0.08, 2001: 0.03, 2005: 0.05, 2003: 0.14, 2007: 0.07, 2004: 0.03, 1997: 0.06, 2002: 0.07, 2009: 0.06, 1998: 0.05, 2000: 0.01, 1999: 0.01, 2008: 0.05, 2010: 0.1, 2012: 0.08, 2013: 0.03, 2014: 0.01, 2011: 0.03}"
1000,1110,"{2002: 0.08, 2006: 0.08, 2000: 0.06, 2005: 0.08, 2004: 0.08, 2009: 0.06, 1995: 0.02, 1996: 0.02, 1997: 0.02, 1998: 0.04, 1999: 0.03, 2007: 0.08, 2008: 0.08, 2003: 0.08, 2001: 0.06, 1990: 0.0, 1993: 0.01, 1994: 0.01, 1991: 0.0, 1992: 0.01, 2010: 0.04, 2012: 0.02, 2011: 0.03, 2013: 0.02, 2015: 0.0, 2014: 0.01}"
1000,1111,"{1994: 0.1, 2003: 0.5, 2006: 0.1, 2013: 0.1, 2011: 0.1, 1999: 0.1}"
1000,1201,"{2005: 0.08, 2010: 0.08, 2013: 0.15, 2006: 0.08, 2012: 0.08, 2001: 0.31, 2008: 0.08, 2011: 0.08, 2002: 0.08}"
1000,1202,"{2011: 0.2, 2001: 0.2, 2010: 0.6}"
1000,1207,{1992: 1.0}
1000,1211,{2011: 1.0}
1000,1300,"{1995: 0.04, 1999: 0.07, 1994: 0.03, 1998: 0.08, 1996: 0.06, 2001: 0.05, 2005: 0.05, 2008: 0.04, 2007: 0.05, 2003: 0.05, 1997: 0.08, 2000: 0.06, 2006: 0.05, 2002: 0.06, 2010: 0.02, 2009: 0.04, 2004: 0.06, 1991: 0.01, 1992: 0.01, 1993: 0.02, 1990: 0.01, 2011: 0.03, 2012: 0.03, 2013: 0.02, 2014: 0.0, 2015: 0.0}"
1000,1302,"{2003: 0.05, 1999: 0.08, 1997: 0.14, 1990: 0.03, 1993: 0.03, 1996: 0.06, 2002: 0.08, 2006: 0.08, 1994: 0.03, 1992: 0.03, 1995: 0.03, 2001: 0.02, 1998: 0.08, 2007: 0.05, 2000: 0.05, 1991: 0.03, 2009: 0.03, 2008: 0.03, 2012: 0.02, 2010: 0.02, 2011: 0.03, 2004: 0.05}"
1000,1303,"{2000: 0.07, 2002: 0.04, 1999: 0.05, 2007: 0.07, 2006: 0.09, 2008: 0.07, 2004: 0.07, 2009: 0.05, 2003: 0.04, 1997: 0.04, 1996: 0.02, 2001: 0.04, 1992: 0.01, 1998: 0.06, 1995: 0.02, 2005: 0.07, 1991: 0.01, 1990: 0.0, 1993: 0.01, 1994: 0.02, 2010: 0.04, 2011: 0.06, 2012: 0.04, 2013: 0.02, 2014: 0.01, 2015: 0.0}"
1000,1304,"{2000: 0.07, 2001: 0.05, 2004: 0.08, 2003: 0.07, 2008: 0.08, 1997: 0.01, 2005: 0.09, 2006: 0.08, 1999: 0.07, 2007: 0.08, 2002: 0.06, 1998: 0.06, 1994: 0.0, 2010: 0.05, 1995: 0.0, 1992: 0.0, 1996: 0.01, 2009: 0.05, 1993: 0.0, 1991: 0.0, 2011: 0.04, 2012: 0.02, 1990: 0.0, 2013: 0.01, 2014: 0.0}"
1000,1305,"{2004: 0.06, 2001: 0.04, 2007: 0.09, 2003: 0.06, 1996: 0.01, 1998: 0.02, 2002: 0.06, 1999: 0.04, 1997: 0.03, 2005: 0.09, 2009: 0.06, 1993: 0.01, 2000: 0.04, 1992: 0.01, 2006: 0.07, 2008: 0.09, 1994: 0.01, 2011: 0.07, 1991: 0.0, 2010: 0.06, 1995: 0.01, 1990: 0.0, 2012: 0.04, 2013: 0.03, 2014: 0.01, 2015: 0.0}"
